titulo,precio,Rating,plataformas,categoria,genero,link,img
The Company Man,37,0,"PC
NSW","The Company Man es un juego de plataformas y acción clásico en 2D a cargo de Forust para PC y Switch en el que te pondrás en la piel de Jim, un asalariado mediocre. Golpea a tus locos compañeros con un teclado, dispara a tus jefes malignos con correos electrónicos y poténciate con granos de café en la empresa Aguaclara. ¡Sobrevive a los problemas de la vida laboral y cumple tu proyecto de vida de convertirte en director general!","Plataformas
Acción",/meristation/juegos/the_company_man/,//as01.epimg.net/t.gif
Mina the Hollower,32,8,"PC
PS4
XBO","Mina the Hollower es una aventura de acción de marcado carácter retro a cargo de Yacht Club Games para PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Switch, en la que Mina debe enfrentarse a toda clase de peligros para liberar a una isla maldita.","Aventura
Acción",/meristation/juegos/mina_the_hollower/,//as01.epimg.net/t.gif
MLB The Show 22,37,5,"PS4
XBO
PS5","MLB The Show 22 es un videojuego de deportes y béisbol a cargo de Sony San Diego Studios y Sony Interactive Entertainment para PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Switch. Crea y usa a múltiples jugadores de béisbol: ve más allá de la experiencia de béisbol al estilo de los RPG de Road to the Show y personaliza a tus jugadores para que te ayuden en tu progreso. ¡Diamond Dynasty vuelve mejor que nunca! Juega, consigue y crea tu colección de cartas de fantasía y haz que cobren vida en el campo.",Deportes,/meristation/juegos/mlb_the_show_22/,//as01.epimg.net/t.gif
The Dark Pictures: The Devil in Me,33,8,"PC
PS4
XBO","Un equipo de rodaje de documentales recibe una misteriosa invitación para visitar la réplica del «Castillo de los asesinatos» de H. H. Holmes, el primer asesino en serie de EE. UU. No tardarán en percatarse de que los observan, y el número de espectadores no será lo único que haya en juego... The Dark Pictures: The Devil in Me es una aventura a cargo de Supermassive Games y Bandai Namco Entertainment para PC, PlayStation 4, Xbox One, PlayStation 5 y Xbox Series.",Aventura,/meristation/juegos/the_dark_pictures_the_devil_in_me/,//as01.epimg.net/t.gif
Lord of the Rings Online: Fate of Gundabad,80,10,PC,"Únete a la comunidad de jugadores más grande del mundo en la galardonada recreación online de la legendaria Tierra Media de J. R. R. Tolkien. Desde las despedazadas y sombrías ruinas de la Cima de los Vientos hasta el eternamente joven bosque dorado de Lothlórien, sumérgete en la Tierra Media como nunca lo habías podido hacer hasta ahora. Lord of the Rings Online: Fate of Gundabad es una nueva expansión del MMORPG de acción a cargo de Standing Stone Games y Daybreak Games para PC.","Acción
RPG
multijugador_masivo_online",/meristation/juegos/lord_of_the_rings_online_fate_of_gundabad/,//as01.epimg.net/t.gif
Encodya,42,0,"PC
PS4
XBO","Neo Berlín, 2062. Tina, una huérfana de nueve años, vive con SAM-53, su enorme y torpe guardián robot, en un refugio improvisado en una azotea de Neo Berlín, una oscura megalópolis controlada por grandes empresas. Encodya es una aventura gráfica a cargo de Chaosmonger Studio y Assemble Entertainment para PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Switch.",Aventura gráfica,/meristation/juegos/encodya/,//as01.epimg.net/t.gif
The Elder Scrolls Online: High Isle,84,7,"PC
STD
PS4","Te damos la bienvenida a Isla Alta, una región de Tamriel inédita hasta ahora en The Elder Scrolls. Explora el idílico archipiélago de los bretones, enclave y centro de su cultura caballeresca, y enfréntate a las fuerzas maléficas del Señor de los Ascendentes, que conspiran para sumir Tamriel en un conflicto eterno. The Elder Scrolls Online: High Isle es una nueva expansión del título de acción RPG a cargo de ZeniMax Online Studios y Bethesda para PC, PlayStation 4, Xbox One, PlayStation 5, Xbox Series y Stadia.","Acción
RPG
multijugador_masivo_online",/meristation/juegos/the_elder_scrolls_online_high_isle/,//as01.epimg.net/t.gif
Crysis 4,39,7,"PC
PS5
XBS","Crysis 4 es un videojuego de acción first person shooter a cargo de Crytek para PC, PlayStation 5 y Xbox Series.","Acción
first_person_shooter",/meristation/juegos/crysis_4/,//as01.epimg.net/t.gif
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,59,8,PC,The Walking Dead: Saints & Sinners - Chapter 2: Retribution es una aventura de acción especialmente diseñada para la realidad virtual de Oculus Quest a cargo de Skydance Interactive y Skybound para PC.,"Aventura
Acción",/meristation/juegos/the_walking_dead_saints_sinners_chapter_2_retribution/,//as01.epimg.net/t.gif
Pupperazzi,40,3,"PC
XBO
XBS","Pon a prueba tu amor por los cachorros: ¡tenemos un montón de perros que necesitan que les tomen fotos! Fotografía y cataloga a los mejores (y más tontos) perros para construir tu carrera, actualizar tu cámara y descubrir nuevos caninos. Pupperazzi es un videojuego de simulación a cargo de Sundae Month y Kitfox Games para PC, Xbox One y Xbox Series.",Simulación,/meristation/juegos/pupperazzi/,//as01.epimg.net/t.gif
